Time,Open,High,Low,Close,Change,Volume
08/01/18,2821.17,2825.83,2805.85,2813.36,-2.9299999999998,0
07/31/18,2809.73,2824.46,2808.06,2816.29,13.69,0
07/30/18,2819,2821.74,2798.11,2802.6,-16.22,0
07/27/18,2842.35,2843.17,2808.34,2818.82,-18.62,0
07/26/18,2835.49,2845.57,2835.26,2837.44,-8.6300000000001,0
07/25/18,2817.73,2848.03,2817.73,2846.07,25.67,0
07/24/18,2820.68,2829.99,2811.12,2820.4,13.42,0
07/23/18,2799.17,2808.61,2795.14,2806.98,5.1500000000001,0
07/20/18,2804.55,2809.7,2800.01,2801.83,-2.6599999999999,0
07/19/18,2809.37,2812.05,2799.77,2804.49,-11.13,0
07/18/18,2811.35,2816.76,2805.89,2815.62,6.0699999999997,0
07/17/18,2789.34,2814.19,2789.24,2809.55,11.12,0
07/16/18,2801.43,2803.71,2793.39,2798.43,-2.8800000000001,0
07/13/18,2796.93,2804.53,2791.69,2801.31,3.02,0
07/12/18,2783.14,2799.22,2781.53,2798.29,24.27,0
07/11/18,2779.82,2785.91,2770.77,2774.02,-19.82,0
07/10/18,2788.56,2795.58,2786.24,2793.84,9.6700000000001,0
07/09/18,2768.51,2784.65,2768.51,2784.17,24.35,0
07/06/18,2737.68,2764.41,2733.52,2759.82,23.21,0
07/05/18,2724.19,2737.83,2716.02,2736.61,23.39,0
07/03/18,2733.27,2736.58,2711.16,2713.22,-13.49,0
07/02/18,2704.95,2727.26,2698.95,2726.71,8.3400000000001,0
06/29/18,2727.13,2743.26,2718.03,2718.37,2.0599999999999,0
06/28/18,2698.69,2724.34,2691.99,2716.31,16.68,0
06/27/18,2728.45,2746.09,2699.38,2699.63,-23.43,0
06/26/18,2722.12,2732.91,2715.6,2723.06,5.9899999999998,0
06/25/18,2742.94,2742.94,2698.67,2717.07,-37.81,0
06/22/18,2760.79,2764.17,2752.95,2754.88,5.1199999999999,0
06/21/18,2769.28,2769.28,2744.39,2749.76,-17.56,0
06/20/18,2769.73,2774.86,2763.91,2767.32,4.73,0
06/19/18,2752.01,2765.05,2743.19,2762.59,-11.16,0
06/18/18,2765.79,2774.99,2757.12,2773.75,-5.9099999999999,0
06/15/18,2777.78,2782.81,2761.73,2779.66,-2.8299999999999,0
06/14/18,2783.21,2789.06,2776.52,2782.49,6.8599999999997,0
06/13/18,2787.94,2791.47,2774.65,2775.63,-11.22,0
06/12/18,2785.6,2789.8,2778.78,2786.85,4.8499999999999,0
06/11/18,2780.18,2790.21,2780.17,2782,2.9699999999998,0
06/08/18,2765.84,2779.39,2763.59,2779.03,8.6600000000003,0
06/07/18,2774.84,2779.9,2760.16,2770.37,-1.98,0
06/06/18,2753.25,2772.39,2748.46,2772.35,23.55,0
06/05/18,2748.46,2752.61,2739.51,2748.8,1.9300000000003,0
06/04/18,2741.67,2749.16,2740.54,2746.87,12.25,0
06/01/18,2718.7,2736.93,2718.7,2734.62,29.35,0
05/31/18,2720.98,2722.5,2700.68,2705.27,-18.74,0
05/30/18,2702.43,2729.34,2702.43,2724.01,34.15,0
05/29/18,2705.11,2710.67,2676.81,2689.86,-31.47,0
05/25/18,2723.6,2727.36,2714.99,2721.33,-6.4300000000003,0
05/24/18,2730.94,2731.97,2707.38,2727.76,-5.5299999999997,0
05/23/18,2713.98,2733.33,2709.54,2733.29,8.8499999999999,0
05/22/18,2738.34,2742.24,2721.88,2724.44,-8.5700000000002,0
05/21/18,2725.95,2739.19,2725.7,2733.01,20.04,0
05/18/18,2717.35,2719.5,2709.18,2712.97,-7.1600000000003,0
05/17/18,2719.71,2731.96,2711.36,2720.13,-2.3299999999999,0
05/16/18,2712.62,2727.76,2712.17,2722.46,11.01,0
05/15/18,2718.59,2718.59,2701.91,2711.45,-18.68,0
05/14/18,2733.37,2742.1,2725.47,2730.13,2.4100000000003,0
05/11/18,2722.7,2732.86,2717.45,2727.72,4.6499999999996,0
05/10/18,2705.02,2726.11,2704.54,2723.07,25.28,0
05/09/18,2678.12,2701.27,2674.14,2697.79,25.87,0
05/08/18,2670.26,2676.34,2655.2,2671.92,-0.71000000000004,0
05/07/18,2669.36,2683.35,2664.7,2672.63,9.21,0
05/04/18,2621.45,2670.93,2615.32,2663.42,33.69,0
05/03/18,2628.08,2637.14,2594.62,2629.73,-5.9400000000001,0
05/02/18,2654.24,2660.87,2631.7,2635.67,-19.13,0
05/01/18,2643.64,2655.27,2625.41,2654.8,6.75,0
04/30/18,2675.05,2682.92,2648.04,2648.05,-21.86,0
04/27/18,2675.47,2677.35,2659.01,2669.91,2.9699999999998,0
04/26/18,2651.65,2676.48,2647.16,2666.94,27.54,0
04/25/18,2634.92,2645.3,2612.67,2639.4,4.8400000000001,0
04/24/18,2680.8,2683.55,2617.32,2634.56,-35.73,0
04/23/18,2675.4,2682.86,2657.99,2670.29,0.15000000000009,0
04/20/18,2692.56,2693.94,2660.61,2670.14,-22.99,0
04/19/18,2701.16,2702.84,2681.9,2693.13,-15.51,0
04/18/18,2710.11,2717.49,2703.63,2708.64,2.25,0
04/17/18,2692.74,2713.34,2692.05,2706.39,28.55,0
04/16/18,2670.1,2686.49,2665.16,2677.84,21.54,0
04/13/18,2676.9,2680.26,2645.05,2656.3,-7.6899999999996,0
04/12/18,2653.83,2674.72,2653.83,2663.99,21.8,0
04/11/18,2643.89,2661.43,2639.25,2642.19,-14.68,0
04/10/18,2638.41,2665.45,2635.78,2656.87,43.71,0
04/09/18,2617.18,2653.55,2610.79,2613.16,8.6900000000001,0
04/06/18,2645.82,2656.88,2586.27,2604.47,-58.37,0
04/05/18,2657.36,2672.08,2649.58,2662.84,18.15,0
04/04/18,2584.04,2649.86,2573.61,2644.69,30.24,0
04/03/18,2592.17,2619.14,2575.49,2614.45,32.57,0
04/02/18,2633.45,2638.3,2553.8,2581.88,-58.99,0
03/29/18,2614.41,2659.07,2609.72,2640.87,35.87,0
03/28/18,2611.3,2632.65,2593.06,2605,-7.6199999999999,0
03/27/18,2667.57,2674.78,2596.12,2612.62,-45.93,0
03/26/18,2619.35,2661.36,2601.81,2658.55,70.29,0
03/23/18,2646.71,2657.67,2585.89,2588.26,-55.43,0
03/22/18,2691.36,2695.68,2641.59,2643.69,-68.24,0
03/21/18,2714.99,2739.14,2709.79,2711.93,-5.0100000000002,0
03/20/18,2715.05,2724.22,2710.05,2716.94,4.02,0
03/19/18,2741.38,2741.38,2694.59,2712.92,-39.09,0
